i,controlada?,nome,razão social,cnpj,valor da empresa i pela Valor (vendas),valor da empresa i pela Economatica (vendas),valor indireto (das empresas em que i tem participação),valor total (valor da empresa i + valor indireto),indicador de poder da empresa i,fonte dos dados da empresa i,poder direto - controle,poder direto - parcial,poder indireto - controle,poder indireto - parcial,composição acionária direta,Estatal ou Privada?
11,"",Wilkes Participacoes S/A,Wilkes Participacoes S/A,'',-,-,46594.49,46594.49,0.00,Economatica associado,P.Acucar-Cbd (65.61%),"","","","",
12,"",Oi,Oi,'76535764000143',27907.00,9245.25,27906.99,37152.24,0.00,Economatica,Telemar N L (100.00%),"","","",Telemar Participacoes S.A. (48.51%) Acoes em Tesouraria (16.37%) Valverde Participacoes S.A. (7.93%) Bratel Brasil S.A. (7.07%) Previ Cx Prev Funcs Bco Brasil (3.90%) Bndespar - BNDES Participacoes SA (0.90%) Funcef-Fundacao Economiarios Federais (0.09%) BNDES - Banco Nac de Desenvol Economico e Social (0.06%) Petros - Fund. Petrobras de Seg. Social (0.04%),
13,sim,Eletrobras,Eletrobras,'00001180000126',29532.70,33061.36,2774.82,35836.18,0.00,Economatica,Eletropar (83.72%),Celpa (34.79%) Cemar (33.48%) Ceee-D (32.23%) Ceee-Gt (32.23%) Tran Paulist (9.67%) Cemat (5.14%) AES Tiete (0.08%) Cesp (0.03%) Celpe (0.03%) Celesc (0.03%),"","",Uniao Federal (Tesouro Nacional) (50.87%) Bndespar - BNDES Participacoes SA (16.63%) BNDES - Banco Nac de Desenvol Economico e Social (7.02%) JP Morgan Chase Bank (7.01%) Fnd Fundo Nacional de Desenvolvimento (4.20%) Caixa Economica Federal (0.80%) Fundo Garantidor de Habitacao Fghab (0.09%),
14,sim,Gerdau,,'33611500000119',35406.80,35406.78,-,35406.78,0.00,Economatica,"","","","",Gerdau Met (76.84%) Bndespar - BNDES Participacoes SA (6.63%) Acoes em Tesouraria (0.30%),
15,sim,Braskem,Braskem,'42150391000170',33176.20,33176.16,-,33176.16,0.00,Economatica,Quattor Petr (100.00%),Copesul (29.46%),"","",Odebrecht Serviços e Part. (50.11%) Petrobras (47.03%) Acoes em Tesouraria (0.00%) Odebrecht (0.00%),
16,"",Odebrecht Serviços e Part.,Odebrecht Serviços e Part.,'',-,-,33176.16,33176.16,0.00,Economatica associado,Braskem (50.11%),"",Quattor Petr (controlada por Braskem),"Braskem => {Quattor Petr (100.00%, final=50.11%), Copesul (29.46%, final=14.76%)}","",
17,"",Companhia Brasiliana de Energia,Companhia Brasiliana de Energia,'',9918.00,-,21557.11,31475.11,0.00,Valor,AES Elpa (98.26%) AES Tiete (71.35%),"",Eletropaulo (controlada por AES Elpa),"AES Elpa => {Eletropaulo (77.81%, final=76.45%)}","",
18,sim,Telef Brasil,,'02558157000162',-,29128.74,-,29128.74,0.00,Economatica,"","","","",SP Telecomunicacoes Holding Ltda (50.51%) Telefonica S.A (25.69%) Telefonica Internacional S/A (15.44%) Telefonica Chile SA (0.18%) Acoes em Tesouraria (0.06%),
19,"",SP Telecomunicacoes Holding Ltda,SP Telecomunicacoes Holding Ltda,'',-,-,29128.74,29128.74,0.00,Economatica associado,Telef Brasil (50.51%),"","","","",
20,"",Telefônica,,'',29128.70,-,-,29128.70,0.00,Valor,"","","","","",
21,sim,Telemar N L,,'33000118000179',-,27906.99,-,27906.99,0.00,Economatica,"","","","",Oi (100.00%),
22,"",Indac Ind. Adm. e Comercio S.A.,Indac Ind. Adm. e Comercio S.A.,'',-,-,27614.37,27614.37,0.00,Economatica associado,"",Gerdau Met (39.00%),"","Gerdau Met => {Gerdau (76.84%, final=29.97%)}","",
23,sim,AmBev,Ambev,'02808708000107',27127.00,27126.72,-,27126.72,0.00,Economatica,Antarctica Paulista (88.09%),Polar (18.60%),"","",Interbrew International B.V. (65.48%) Fund Antonio e Helena Zerrenner Inb (17.13%) Ambrew S/A (8.75%) Previ Cx Prev Funcs Bco Brasil (1.03%) Acoes em Tesouraria (0.03%),
24,"",Interbrew International B.V.,Interbrew International B.V.,'',-,-,27126.72,27126.72,0.00,Economatica associado,AmBev (65.48%),"",Antarctica Paulista (controlada por AmBev),"AmBev => {Antarctica Paulista (88.09%, final=57.69%), Polar (18.60%, final=12.18%)}","",
25,"",Fb Participacoes S.A.,Fb Participacoes S.A.,'',-,-,26179.77,26179.77,0.00,Economatica associado,"",JBS (42.36%),"","","",
26,"",BRF Foods,BRF Foods,'01838723000127',25706.20,25706.24,-,25706.24,0.00,Economatica,"",Sadia S/A. (10.27%),"","","Previ Cx Prev Funcs Bco Brasil (12.41%) Petros - Fund. Petrobras de Seg. Social (10.16%) Tarpon Inv (8.05%) Blackrock, Inc (4.05%) Fundacao Vale do Rio Doce de Seg. Social - Valia (1.70%) Fund Tel de Seguro Social/Sistel (1.35%) Acoes em Tesouraria (0.34%) Fprv1 Sabia Fim Previdenciario (0.12%)",
27,"",Carrefour,,'',24899.70,-,-,24899.70,0.00,Valor,"","","","","",
28,"",CPFL Energia,CPFL Energia,'02429144000193',12764.00,12764.03,11734.31,24498.34,0.00,Economatica,CPFL Piratininga (100.00%) CPFL Geracao (100.00%) Paul F Luz (100.00%) Rio Gde Ener (100.00%),"","","",Fundo Mutuo Inv. Acoes BB Cart. Livre I (31.02%) VBC Energia (25.55%) Energia Sao Paulo Fundo de Investimento em Participacoes (11.96%) Bndespar - BNDES Participacoes SA (8.42%) Bonaire Participacoes S/A (0.66%),
29,"",Volkswagen,,'',24001.10,-,-,24001.10,0.00,Valor,"","","","","",
30,"",Marfrig,Marfrig,'03853896000140',21884.90,21884.91,68.75,21953.65,0.00,Economatica,Excelsior (53.89%),"","","","Mms Participacoes S/A (43.66%) Bndespar - BNDES Participacoes SA (13.94%) Osi International Holding Limited (5.82%) Templeton Asset Management, Ltd (5.04%) Marcos Antonio Molina Dos Santos (2.91%) Marcia Ap. Pascoal Marcal Dos Santos (2.19%) Acoes em Tesouraria (0.22%)",
31,"",Fiat,,'',21496.00,-,-,21496.00,0.00,Valor,"","","","","",
32,sim,Viavarejo,,'33041260065290',-,21016.72,-,21016.72,0.00,Economatica,"","","","",Pão de Açúcar (52.41%) Samuel Klein (25.14%) Michael Klein (21.85%),
33,"",Estado de Minas Gerais,Estado de Minas Gerais,'',-,-,20852.15,20852.15,0.00,Economatica associado,Copasa (51.44%) Cemig (50.96%),"","","Cemig => {Light => {Renova (29.73%, final=3.95%)}}","",
34,"",Previ Cx Prev Funcs Bco Brasil,Previ Cx Prev Funcs Bco Brasil,'',-,-,20591.20,20591.20,0.00,Economatica associado,Sauipe (93.94%),Tupy (35.81%) Fras-Le (34.00%) Celesc (33.11%) Paranapanema (23.96%) Neoenergia (22.24%) La Fonte Tel (19.85%) Forjas Taurus (15.30%) Jereissati (13.15%) Seara Alim (13.08%) BRF Foods (12.41%) Embraer (10.64%) Usiminas (10.54%) Brasil (10.36%) Randon Part (10.07%) Bic Monark (10.04%) Petroflex (8.48%) Bunge Brasil (6.64%) Ultrapar (6.00%) All Amer Lat (3.98%) Oi (3.90%) Telemar (3.73%) Afluente (3.04%) Coelba (3.04%) Afluente T (2.29%) AmBev (1.03%) Kepler Weber (0.35%) Litel (0.00%),"","Neoenergia => {Celpe (99.58%, final=22.15%), Afluente (89.77%, final=19.97%), Coelba (89.77%, final=19.97%), Afluente T (87.84%, final=19.54%), Cosern (85.41%, final=19.00%)}
La Fonte Tel => {Iguatemi (0.91%, final=0.18%)}
BRF Foods => {Sadia S/A. (10.27%, final=1.27%)}
Usiminas => {Cosipa (94.57%, final=9.96%)}
Bunge Brasil => {Bunge Alimentos (100.00%, final=6.64%)}
Ultrapar => {Ipiranga Dis (100.00%, final=6.00%), Ipiranga Pet (100.00%, final=6.00%), Ipiranga Ref (100.00%, final=6.00%)}
Oi => {Telemar N L (100.00%, final=3.90%)}
AmBev => {Antarctica Paulista (88.09%, final=0.90%), Polar (18.60%, final=0.19%)}","",
35,"",Walmart,,'',20314.20,-,-,20314.20,0.00,Valor,"","","","","",
36,sim,AES Elpa,AES Elpa,'01917705000130',-,9835.58,9835.58,19671.16,0.00,Economatica,Eletropaulo (77.81%),"","","",Companhia Brasiliana de Energia (98.26%) Bndespar - BNDES Participacoes SA (0.00%),
37,"",Nestlé,,'',19266.30,-,-,19266.30,0.00,Valor,"","","","","",
38,"",Cargill,Cargill,'',18872.60,-,-,18872.60,0.00,Valor,Seara Alim (71.63%),"","","","",
39,"",Grupo Gerdau Empreendimentos Ltda,Grupo Gerdau Empreendimentos Ltda,'',-,-,18615.11,18615.11,0.00,Economatica associado,"",Gerdau Met (26.29%),"","Gerdau Met => {Gerdau (76.84%, final=20.20%)}","",
40,sim,Cosan,,'50746577000115',24096.90,18302.94,-,18302.94,0.00,Economatica,"","","","",Cosan Limited (59.47%) Roberto de Rezende Barbosa (4.63%) Renato e R Barbosa (2.88%) Jose Eugenio de Rezende Barbosa Sobrinho (2.69%) Anniston Pte. Ltd. (2.67%) Acoes em Tesouraria (0.72%) Rezende Barbosa SA Adm e Part (0.71%) Commonwealth Carriers SA (0.21%) Island Services Management Corp (0.10%) Usina Bom Jesus SA Acucar e Alcool (0.00%),
41,"",Cosan Limited,Cosan Limited,'',-,-,18302.94,18302.94,0.00,Economatica associado,Cosan (59.47%),"","","","",
42,"",Telemar Participacoes S.A.,Telemar Participacoes S.A.,'',-,-,18024.38,18024.38,0.00,Economatica associado,Telemar (58.69%),Oi (48.51%),"","Oi => {Telemar N L (100.00%, final=48.51%)}","",
43,"",CSN,Csn,'33042730000104',16519.60,16519.58,1430.11,17949.69,0.00,Economatica,"",Usiminas (11.72%) Panatlantica (9.57%),"","Usiminas => {Cosipa (94.57%, final=11.09%)}",Vicunha Siderurgia S/A (47.86%) Rio Iaco Participacoes S.A. (3.99%),
44,"",Neoenergia,Neoenergia,'01083200000118',9770.80,9770.85,7934.23,17705.08,0.00,Economatica,Celpe (99.58%) Afluente (89.77%) Coelba (89.77%) Afluente T (87.84%) Cosern (85.41%),"","","",Iberdrola Energia S.A. (39.00%) Fundo Mutuo Inv. Acoes BB Cart. Livre I (26.77%) Previ Cx Prev Funcs Bco Brasil (22.24%) BB Banco de Investimento S/A (11.99%),
45,sim,Cemig,Cemig,'17155730000164',15814.20,15814.23,1812.99,17627.22,0.00,Economatica,"",Light (26.06%),"","Light => {Renova (29.73%, final=7.75%)}",Estado de Minas Gerais (50.96%) Agc Energia SA (32.96%),
46,sim,Tim Part S/A,Tim Part S/A,'02558115000121',17086.00,17085.98,-,17085.98,0.00,Economatica,Tim Nordeste (100.00%) Tim Sul (100.00%),"","","",Tim Brasil Servicos e Participacoes S.A. (66.70%) Acoes em Tesouraria (0.03%) Administradores (0.00%),
47,"",Tim Brasil Servicos e Participacoes S.A.,Tim Brasil Servicos e Participacoes S.A.,'',-,-,17085.98,17085.98,0.00,Economatica associado,Tim Part S/A (66.70%),"",Tim Nordeste (controlada por Tim Part S/A) Tim Sul (controlada por Tim Part S/A),"Tim Part S/A => {Tim Nordeste (100.00%, final=66.70%), Tim Sul (100.00%, final=66.70%)}","",
48,"",Mercedes-Benz,,'',16200.00,-,-,16200.00,0.00,Valor,"","","","","",
49,"",FPS Fundo de Participacao Social,FPS Fundo de Participacao Social,'',-,-,15637.52,15637.52,0.00,Economatica associado,"",Sam Industr (18.28%) Petrobras (6.02%),"","Petrobras => {Petroquisa => {Copesul (15.63%, final=0.94%)}, Braskem => {Quattor Petr (100.00%, final=2.83%)}}","",
50,"",Acoes em Tesouraria,Acoes em Tesouraria,'',-,-,14903.64,14903.64,0.00,Economatica associado,Rodobensimob (1307.33%),Oi (16.37%) Tempo Part (9.01%) Log-In (7.12%) Forjas Taurus (6.38%) Ceg (4.70%) BR Insurance (4.36%) JBS (3.29%) CSU Cardsystem (3.12%) Lojas Americ (3.01%) Cyrela Realty (3.00%) Vale (2.73%) BMF Bovespa (2.60%) Inds Romi (2.59%) Profarma (2.52%) Embraer (2.12%) Rossi Resid (2.08%) Medial Saude (1.99%) Positivo Inf (1.97%) BHG (1.91%) Tecnisa (1.87%) Suzano Papel (1.86%) Localiza (1.69%) Telemar (1.62%) Minerva (1.58%) Ultrapar (1.53%) S Gobain Vidro (1.41%) Contax (1.41%) Anhanguera (1.19%) Brookfield (1.16%) Mrv (1.11%) Direcional (1.08%) BR Brokers (1.06%) SLC Agricola (1.05%) JSL (0.98%) Sul America (0.97%) Celul Irani (0.90%) Energisa (0.84%) Sao Carlos (0.77%) Amil (0.77%) Valid (0.75%) Cosan (0.72%) PDG Realt (0.66%) Sao Martinho (0.63%) Datasul (0.61%) Energias BR (0.53%) Arcelor BR (0.53%) Natura (0.52%) Tarpon Inv (0.47%) Multiplan (0.47%) Cyre Com-Ccp (0.42%) AES Sul (0.38%) Dasa (0.37%) Bematech (0.37%) Iguatemi (0.36%) BRF Foods (0.34%) Metalfrio (0.33%) Copasa (0.31%) Estacio Part (0.31%) Gerdau (0.30%) Rexam Bcsa (0.29%) Hypermarcas (0.27%) Cielo (0.26%) Santander BR (0.24%) Marfrig (0.22%) Gafisa (0.14%) Ferbasa (0.14%) Bradesco (0.13%) Imc Holdings (0.13%) SPturis (0.12%) Le Lis Blanc (0.12%) Am Inox BR (0.11%) Tegma (0.10%) Nutriplant (0.10%) Ericsson (0.07%) Telef Brasil (0.06%) Fibria (0.06%) Seg Min Bras (0.05%) CC Des Imob (0.05%) JHSF Part (0.04%) Lupatech (0.04%) EcoRodovias (0.03%) Tim Part S/A (0.03%) Eternit (0.03%) Mundial (0.03%) Sul Amer Nac (0.03%) AmBev (0.03%) Celgpar (0.02%) Nord Brasil (0.02%) Redecard (0.01%) Jereissati (0.01%) Pet Manguinh (0.01%) Paranapanema (0.01%) Tele Nort Cl (0.00%) Coteminas (0.00%) Telebras (0.00%) BR Malls Par (0.00%) Tecel S Jose (0.00%) Agre Emp Imo (0.00%) Agra Incorp (0.00%) ItauUnibanco (0.00%) Braskem (0.00%) Cambuci (0.00%) Plascar Part (0.00%) S Gobain Canal (0.00%) Trisul (0.00%) Cetip (0.00%) Brasil (0.00%),"","Oi => {Telemar N L (100.00%, final=16.37%)}
Vale => {Caemi (100.00%, final=2.73%)}
Ultrapar => {Ipiranga Dis (100.00%, final=1.53%), Ipiranga Pet (100.00%, final=1.53%), Ipiranga Ref (100.00%, final=1.53%)}
Sul America => {Sul Amer Nac => {D F Vasconc (0.17%, final=0.00%)}}
Energisa => {F Cataguazes (100.00%, final=0.84%)}
Tarpon Inv => {Cremer (43.04%, final=0.20%), BRF Foods => {Sadia S/A. (10.27%, final=0.00%)}}
Marfrig => {Excelsior (53.89%, final=0.12%)}
Fibria => {Aracruz (16.95%, final=0.01%)}
Tim Part S/A => {Tim Nordeste (100.00%, final=0.03%), Tim Sul (100.00%, final=0.03%)}
AmBev => {Antarctica Paulista (88.09%, final=0.02%), Polar (18.60%, final=0.01%)}
Braskem => {Quattor Petr (100.00%, final=0.00%), Copesul (29.46%, final=0.00%)}","",
51,sim,Embratel Part,Embratel Part,'02558124000112',-,12233.26,2394.30,14627.57,0.00,Economatica,"",Net (35.76%),"","Net => {Cma Part (54.84%, final=19.61%)}",Telmex Solutions Telecom. Ltda (54.77%) Controladora de Serv. Telec. S.A. de C.V (43.44%),
52,"",Telmex Solutions Telecom. Ltda,Telmex Solutions Telecom. Ltda,'',-,-,14627.57,14627.57,0.00,Economatica associado,Embratel Part (54.77%),"","","Embratel Part => {Net => {Cma Part (54.84%, final=10.74%)}}","",
53,"",Honda South America 2,,'',14466.80,-,-,14466.80,0.00,Valor,"","","","","",
54,"",Lojas Americanas,Lojas Americanas S.A.,'',10201.60,-,4232.14,14433.74,0.00,Valor,B2W Varejo (57.66%),"","","","",
55,sim,TAM,Tam S/A,'01832635000118',12994.50,12994.49,1246.81,14241.30,0.00,Economatica,Multiplus (73.14%),"","","",Holdco I S.A. (99.28%),
56,"",Holdco I S.A.,Holdco I S.A.,'',-,-,14241.30,14241.30,0.00,Economatica associado,TAM (99.28%),"",Multiplus (controlada por TAM),"TAM => {Multiplus (73.14%, final=72.61%)}","",
57,"",Sudaco Participacoes Ltda,Sudaco Participacoes Ltda,'',-,-,13377.77,13377.77,0.00,Economatica associado,"",P.Acucar-Cbd (28.71%),"","","",
58,"",Correios,,'',13214.10,-,-,13214.10,0.00,Valor,"","","","","",
59,"",Governo do Estado de Sao Paulo,Governo do Estado de Sao Paulo,'',-,-,13063.25,13063.25,0.00,Economatica associado,Emae (97.62%) Cesp (94.08%) Sabesp (50.26%),Vasp (4.62%),"","","",
60,"",Fundo Mutuo Inv. Acoes BB Cart. Livre I,Fundo Mutuo Inv. Acoes BB Cart. Livre I,'',-,-,12733.42,12733.42,0.00,Economatica associado,521 Particip (100.00%),CPFL Energia (31.02%) Neoenergia (26.77%) Sauipe (0.00%),"","CPFL Energia => {CPFL Piratininga (100.00%, final=31.02%), CPFL Geracao (100.00%, final=31.02%), Paul F Luz (100.00%, final=31.02%), Rio Gde Ener (100.00%, final=31.02%)}
Neoenergia => {Celpe (99.58%, final=26.66%), Afluente (89.77%, final=24.03%), Coelba (89.77%, final=24.03%), Afluente T (87.84%, final=23.51%), Cosern (85.41%, final=22.86%)}","",
61,"",Embratel,Embratel,'',12233.30,-,150.97,12384.27,0.00,Valor,"",Net (2.25%),"","Net => {Cma Part (54.84%, final=1.24%)}","",
62,"",Claro Telecom Participacoes,Claro Telecom Participacoes,'',12369.80,-,-,12369.80,0.00,Valor,"","","","","",
63,"",Usiminas,Usiminas,'60894730000105',11902.00,11901.96,-,11901.96,0.00,Economatica,Cosipa (94.57%),"","","",Nippon Usiminas Co Ltd (23.86%) Ternium Investiments S.Ar.L (16.86%) CSN (11.72%) Previ Cx Prev Funcs Bco Brasil (10.54%) Caixa Dos Empregados da Usiminas (6.78%) Nippon Steel Corporation (5.44%) Tenaris Confab (4.97%) Prosid Investiments S.C.A. (3.98%) Siderar S.A.I.C. (1.99%) Mitsubishi Corporation do Brasil S.A. (1.48%),
64,"",Ultra S/A Participacoes,Ultra S/A Participacoes,'',-,-,11694.93,11694.93,0.00,Economatica associado,"",Ultrapar (24.03%),"","Ultrapar => {Ipiranga Dis (100.00%, final=24.03%), Ipiranga Pet (100.00%, final=24.03%), Ipiranga Ref (100.00%, final=24.03%)}","",
65,"",Globo,Globo,'',10977.40,-,693.57,11670.97,0.00,Valor,"",Net (10.36%),"","Net => {Cma Part (54.84%, final=5.68%)}","",
66,"",Empresa de Eletric. Vale Paranapanema SA,Empresa de Eletric. Vale Paranapanema SA,'',-,-,11375.15,11375.15,0.00,Economatica associado,Rede Energia (82872.22%),"",Cemat (controlada por Rede Energia) Enersul (controlada por Rede Energia),"Rede Energia => {Cemat (61.84%, final=51246.89%), Enersul (60.16%, final=49851.85%), Celpa (10.20%, final=8456.78%)}","",
67,"",Denerge Desenvolvimento Energ. S/A,Denerge Desenvolvimento Energ. S/A,'',-,-,11375.15,11375.15,0.00,Economatica associado,Rede Energia (14829.18%),"",Cemat (controlada por Rede Energia) Enersul (controlada por Rede Energia),"Rede Energia => {Cemat (61.84%, final=9170.13%), Enersul (60.16%, final=8920.50%), Celpa (10.20%, final=1513.26%)}","",
68,sim,Rede Energia,Rede Energia,'61584140000149',7782.40,7782.42,3592.73,11375.15,0.00,Economatica,Cemat (61.84%) Enersul (60.16%),Celpa (10.20%),"","",Empresa de Eletric. Vale Paranapanema SA (82872.22%) Denerge Desenvolvimento Energ. S/A (14829.18%),
69,"",Copersucar,,'',11033.10,-,-,11033.10,0.00,Valor,"","","","","",
70,"",Jereissati,Jereissati,'60543816000193',-,5123.36,5122.85,10246.22,0.00,Economatica,La Fonte Tel (80.10%) Iguatemi (55.34%),"","","La Fonte Tel => {Iguatemi (0.91%, final=0.73%)}",Sociedade Fiduciaria Brasileira (30.65%) Southmall Holding Ltda (24.65%) Previ Cx Prev Funcs Bco Brasil (13.15%) Fundacao Atlantico de Seg. Social (11.49%) Jpsul Participacoes e Repres. Coms (10.31%) Carlos Francisco R. Jereissati (6.19%) Acoes em Tesouraria (0.01%),
71,sim,Lojas Americ,,'33014556000196',-,10201.62,-,10201.62,0.00,Economatica,"","","","","S-Velame Adm. de Rec. e Part. S/A (53.48%) Gif3 Li-2 Llc (12.56%) Companhia Global de Varejo, Llc - Credit Suisse (Brasil) S/A Ctvm (7.93%) Tobias Cepelowicz (6.79%) Acoes em Tesouraria (3.01%)",
72,"",S-Velame Adm. de Rec. e Part. S/A,S-Velame Adm. de Rec. e Part. S/A,'',-,-,10201.62,10201.62,0.00,Economatica associado,Lojas Americ (53.48%),"","","","",
73,sim,Sabesp,,'43776517000180',9941.60,9941.64,-,9941.64,0.00,Economatica,"","","","",Governo do Estado de Sao Paulo (50.26%),
74,"",Embraer,,'07689002000189',9858.10,9858.06,-,9858.06,0.00,Economatica,"","","","","Previ Cx Prev Funcs Bco Brasil (10.64%) Oppenheimer Funds Inc. (8.61%) Thornburg Investment Management'S (7.15%) Bndespar - BNDES Participacoes SA (5.48%) Blackrock, Inc (5.24%) Cia Bozano Simonsen Com & Ind (4.40%) Acoes em Tesouraria (2.12%)",
75,sim,Eletropaulo,,'61695227000193',-,9835.58,-,9835.58,0.00,Economatica,"","","","",AES Elpa (77.81%) Uniao Federal (Tesouro Nacional) (20.03%),
76,"",Suzano Hold,Suzano Hold,'60651809000105',-,4852.26,4847.99,9700.25,0.00,Economatica,Suzano Papel (97.25%),"","","",Fanny Feffer (27.50%) Daniel Feffer (18.12%) David Feffer (18.12%) Jorge Feffer (18.12%) Ruben Feffer (18.12%),
77,"",Mms Participacoes S/A,Mms Participacoes S/A,'',-,-,9584.49,9584.49,0.00,Economatica associado,"",Marfrig (43.66%),"","Marfrig => {Excelsior (53.89%, final=23.53%)}","",
78,"",Estado do Parana,Estado do Parana,'',-,-,9518.56,9518.56,0.00,Economatica associado,Sanepar (60.00%) Copel (58.63%),"","","","",
79,"",EDP Energias do Brasil,Edp Energias do Brasil S/A,'',5401.70,-,3928.71,9330.41,0.00,Valor,Escelsa (100.00%) Bandeirante Energ (100.00%),"","","","",
80,sim,Tele Nort Cl,,'02558154000129',-,9240.40,-,9240.40,0.00,Economatica,"","","","",Telemar Norte Leste S/A (99.57%) Acoes em Tesouraria (0.00%),
